"","date","state","new_cases","new_deaths"
"1",2020-01-21,"Washington",0,0
"2",2020-01-22,"Washington",0,0
"3",2020-01-23,"Washington",0,0
"4",2020-01-24,"Illinois",0,0
"5",2020-01-24,"Washington",0,0
"6",2020-01-25,"California",0,0
"7",2020-01-25,"Illinois",0,0
"8",2020-01-25,"Washington",0,0
"9",2020-01-26,"Arizona",0,0
"10",2020-01-26,"California",1,0
"11",2020-01-26,"Illinois",0,0
"12",2020-01-26,"Washington",0,0
"13",2020-01-27,"Arizona",0,0
"14",2020-01-27,"California",0,0
"15",2020-01-27,"Illinois",0,0
"16",2020-01-27,"Washington",0,0
"17",2020-01-28,"Arizona",0,0
"18",2020-01-28,"California",0,0
"19",2020-01-28,"Illinois",0,0
"20",2020-01-28,"Washington",0,0
"21",2020-01-29,"Arizona",0,0
"22",2020-01-29,"California",0,0
"23",2020-01-29,"Illinois",0,0
"24",2020-01-29,"Washington",0,0
"25",2020-01-30,"Arizona",0,0
"26",2020-01-30,"California",0,0
"27",2020-01-30,"Illinois",1,0
"28",2020-01-30,"Washington",0,0
"29",2020-01-31,"Arizona",0,0
"30",2020-01-31,"California",1,0
"31",2020-01-31,"Illinois",0,0
"32",2020-01-31,"Washington",0,0
"33",2020-02-01,"Arizona",0,0
"34",2020-02-01,"California",0,0
"35",2020-02-01,"Illinois",0,0
"36",2020-02-01,"Massachusetts",0,0
"37",2020-02-01,"Washington",0,0
"38",2020-02-02,"Arizona",0,0
"39",2020-02-02,"California",3,0
"40",2020-02-02,"Illinois",0,0
"41",2020-02-02,"Massachusetts",0,0
"42",2020-02-02,"Washington",0,0
"43",2020-02-03,"Arizona",0,0
"44",2020-02-03,"California",0,0
"45",2020-02-03,"Illinois",0,0
"46",2020-02-03,"Massachusetts",0,0
"47",2020-02-03,"Washington",0,0
"48",2020-02-04,"Arizona",0,0
"49",2020-02-04,"California",0,0
"50",2020-02-04,"Illinois",0,0
"51",2020-02-04,"Massachusetts",0,0
"52",2020-02-04,"Washington",0,0
"53",2020-02-05,"Arizona",0,0
"54",2020-02-05,"California",0,0
"55",2020-02-05,"Illinois",0,0
"56",2020-02-05,"Massachusetts",0,0
"57",2020-02-05,"Washington",0,0
"58",2020-02-05,"Wisconsin",0,0
"59",2020-02-06,"Arizona",0,0
"60",2020-02-06,"California",0,0
"61",2020-02-06,"Illinois",0,0
"62",2020-02-06,"Massachusetts",0,0
"63",2020-02-06,"Washington",0,0
"64",2020-02-06,"Wisconsin",0,0
"65",2020-02-07,"Arizona",0,0
"66",2020-02-07,"California",0,0
"67",2020-02-07,"Illinois",0,0
"68",2020-02-07,"Massachusetts",0,0
"69",2020-02-07,"Washington",0,0
"70",2020-02-07,"Wisconsin",0,0
"71",2020-02-08,"Arizona",0,0
"72",2020-02-08,"California",0,0
"73",2020-02-08,"Illinois",0,0
"74",2020-02-08,"Massachusetts",0,0
"75",2020-02-08,"Washington",0,0
"76",2020-02-08,"Wisconsin",0,0
"77",2020-02-09,"Arizona",0,0
"78",2020-02-09,"California",0,0
"79",2020-02-09,"Illinois",0,0
"80",2020-02-09,"Massachusetts",0,0
"81",2020-02-09,"Washington",0,0
"82",2020-02-09,"Wisconsin",0,0
"83",2020-02-10,"Arizona",0,0
"84",2020-02-10,"California",1,0
"85",2020-02-10,"Illinois",0,0
"86",2020-02-10,"Massachusetts",0,0
"87",2020-02-10,"Washington",0,0
"88",2020-02-10,"Wisconsin",0,0
"89",2020-02-11,"Arizona",0,0
"90",2020-02-11,"California",0,0
"91",2020-02-11,"Illinois",0,0
"92",2020-02-11,"Massachusetts",0,0
"93",2020-02-11,"Washington",0,0
"94",2020-02-11,"Wisconsin",0,0
"95",2020-02-12,"Arizona",0,0
"96",2020-02-12,"California",0,0
"97",2020-02-12,"Illinois",0,0
"98",2020-02-12,"Massachusetts",0,0
"99",2020-02-12,"Texas",0,0
"100",2020-02-12,"Washington",0,0
"101",2020-02-12,"Wisconsin",0,0
"102",2020-02-13,"Arizona",0,0
"103",2020-02-13,"California",0,0
"104",2020-02-13,"Illinois",0,0
"105",2020-02-13,"Massachusetts",0,0
"106",2020-02-13,"Texas",1,0
"107",2020-02-13,"Washington",0,0
"108",2020-02-13,"Wisconsin",0,0
"109",2020-02-14,"Arizona",0,0
"110",2020-02-14,"California",0,0
"111",2020-02-14,"Illinois",0,0
"112",2020-02-14,"Massachusetts",0,0
